time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.3844,0.4219,42,0.6235,0.773
0,1,0.4463,0.6937,27,0.5568,0.7545
0,2,0.7875,0.8625,23,0.4869,0.7108
0,3,0.5578,0.9375,6,0.6666,0.8132
0,4,0.3156,0.45,42,0.5969,0.799
0,5,0.6437,0.7406,30,0.5799,0.8204
0,6,0.6125,0.8625,35,0.4278,0.6052
0,7,0.6937,0.9375,20,0.4768,0.768
0,8,0.6305,0.8156,23,0.613,0.75
0,9,0.4344,0.6562,27,0.6947,0.7545
0,10,0.45,0.7969,30,0.3513,0.7541
0,11,0.5227,0.7031,27,0.6597,0.7622
0,12,0.1625,0.2906,71,0.4629,0.7526
0,13,0.2119,0.5625,27,0.3864,0.8071
0,14,0.5062,0.8344,24,0.6048,0.698
0,15,0.2906,0.4313,77,0.3297,0.5769
0,16,0.2437,0.375,56,0.566,0.72
0,17,0.4875,0.5906,35,0.7674,0.802
0,18,0.2109,0.3375,50,0.4128,0.7642
0,19,0.2109,0.3281,66,0.5069,0.693
0,20,0.1594,0.2062,120,0.4117,0.5276
0,21,0.0984,0.1219,108,0.5293,0.6351
0,22,0.2344,0.3375,63,0.605,0.7028
0,23,0.1875,0.2625,74,0.4473,0.6864
0,24,0.2031,0.3656,51,0.4741,0.7918
0,25,0.3023,0.45,45,0.661,0.8228
0,26,0.1266,0.2437,60,0.376,0.7521
0,27,0.1313,0.2531,66,0.3619,0.7238
5,0,0.5187,0.6562,21,0.6896,0.8091
5,1,0.5981,0.9,6,0.7262,0.8315
5,2,0.9156,0.9844,3,0.6629,0.8615
5,3,0.6305,0.9563,3,0.7733,0.8054
5,4,0.4406,0.6188,20,0.7172,0.8361
5,5,0.7781,0.9656,3,0.7346,0.8182
5,6,0.7281,0.9844,3,0.6596,0.8615
5,7,0.7562,0.9938,2,0.5263,0.8256
5,8,0.7031,0.8625,9,0.8084,0.8615
5,9,0.4969,0.675,15,0.8539,0.8636
5,10,0.5297,0.975,3,0.5541,0.8469
5,11,0.6258,0.9,20,0.674,0.8168
5,12,0.1625,0.2719,45,0.5304,0.8069
5,13,0.2419,0.6844,12,0.4117,0.8812
5,14,0.5766,0.9844,3,0.6899,0.8507
5,15,0.3281,0.4969,51,0.3992,0.6946
5,16,0.3844,0.5719,21,0.5985,0.8467
5,17,0.6516,0.825,6,0.8836,0.8929
5,18,0.2719,0.3656,27,0.4791,0.867
5,19,0.2391,0.3656,48,0.7356,0.7635
5,20,0.1688,0.2156,81,0.5895,0.6773
5,21,0.1125,0.1406,75,0.7101,0.7273
5,22,0.2672,0.3937,48,0.5872,0.7526
5,23,0.2406,0.3469,45,0.5555,0.7847
5,24,0.2656,0.4219,42,0.5023,0.773
5,25,0.2883,0.3937,45,0.7178,0.8207
5,26,0.1219,0.225,60,0.379,0.7581
5,27,0.15,0.2719,48,0.397,0.794
10,0,0.6344,0.8156,15,0.6875,0.795
10,1,0.6713,0.9187,6,0.7067,0.8308
10,2,0.9437,0.9844,3,0.5856,0.7317
10,3,0.6539,0.975,3,0.7599,0.8828
10,4,0.525,0.7219,20,0.7653,0.7826
10,5,0.7938,0.9938,2,0.4748,0.7706
10,6,0.7406,0.9656,3,0.8249,0.8743
10,7,0.7844,0.9938,2,0.5925,0.9032
10,8,0.6984,0.8719,6,0.8575,0.8868
10,9,0.4938,0.6188,24,0.7968,0.8563
10,10,0.5602,0.9938,2,0.4241,0.871
10,11,0.7031,0.9938,2,0.5718,0.7929
10,12,0.1531,0.225,71,0.574,0.7552
10,13,0.2569,0.7312,12,0.4157,0.88
10,14,0.5953,0.9844,3,0.7135,0.8452
10,15,0.375,0.5906,27,0.4752,0.7939
10,16,0.4828,0.6937,18,0.6785,0.8163
10,17,0.7594,0.9375,6,0.7716,0.8433
10,18,0.3187,0.375,30,0.514,0.85
10,19,0.2625,0.3844,69,0.674,0.6982
10,20,0.1594,0.1781,87,0.6182,0.6692
10,21,0.1078,0.1406,63,0.6625,0.7709
10,22,0.2766,0.4125,45,0.6567,0.7606
10,23,0.2625,0.3469,27,0.5936,0.8708
10,24,0.2938,0.45,36,0.4904,0.7955
10,25,0.3,0.3937,45,0.7522,0.8185
10,26,0.1359,0.2344,90,0.3163,0.6327
10,27,0.1594,0.2719,48,0.397,0.794
15,0,0.6875,0.825,9,0.8076,0.8393
15,1,0.7312,0.9469,5,0.7656,0.88
15,2,0.9562,0.9844,3,0.606,0.7931
15,3,0.6516,0.9656,3,0.7963,0.88
15,4,0.625,0.825,12,0.732,0.7919
15,5,0.8219,0.975,3,0.7073,0.7697
15,6,0.7594,0.975,3,0.771,0.8645
15,7,0.7875,0.9938,2,0.5472,0.8875
15,8,0.7055,0.8812,6,0.8411,0.8723
15,9,0.5219,0.6,21,0.7913,0.8359
15,10,0.5836,0.9938,2,0.4128,0.854
15,11,0.7359,0.9938,2,0.4459,0.7434
15,12,0.1562,0.2437,71,0.6236,0.7601
15,13,0.2794,0.8063,12,0.4208,0.8065
15,14,0.6258,0.9938,2,0.6143,0.8235
15,15,0.3844,0.5813,21,0.5073,0.8433
15,16,0.5625,0.7688,15,0.6389,0.7973
15,17,0.8203,0.975,3,0.7424,0.8598
15,18,0.3844,0.4219,30,0.6055,0.8378
15,19,0.2859,0.3844,63,0.7037,0.7577
15,20,0.1781,0.2062,87,0.6412,0.6575
15,21,0.1031,0.15,75,0.6204,0.7243
15,22,0.2953,0.4313,36,0.7561,0.8022
15,23,0.2563,0.3563,33,0.5826,0.8527
15,24,0.2781,0.4219,36,0.4866,0.8054
15,25,0.2953,0.375,57,0.6725,0.715
15,26,0.15,0.2437,93,0.3079,0.6157
15,27,0.1687,0.2719,47,0.3991,0.7983
20,0,0.7188,0.8719,8,0.7883,0.9011
20,1,0.7463,0.9094,6,0.8031,0.8983
20,2,0.9594,0.9938,2,0.5083,0.7857
20,3,0.6516,0.9656,3,0.7674,0.8571
20,4,0.6625,0.8625,9,0.7894,0.8383
20,5,0.8406,0.975,3,0.5666,0.8248
20,6,0.7594,0.9656,3,0.8098,0.8554
20,7,0.8,0.9938,2,0.5613,0.8469
20,8,0.7172,0.9094,3,0.8438,0.8966
20,9,0.5719,0.6844,21,0.7311,0.7921
20,10,0.593,0.9938,2,0.4031,0.8193
20,11,0.743,0.9938,2,0.5983,0.856
20,12,0.1687,0.2719,113,0.5085,0.6225
20,13,0.2944,0.8531,8,0.4462,0.8639
20,14,0.6211,0.975,3,0.7929,0.8531
20,15,0.4156,0.6281,21,0.5438,0.8235
20,16,0.5531,0.7312,15,0.6828,0.8256
20,17,0.7875,0.8906,3,0.8829,0.9143
20,18,0.3984,0.4219,27,0.5995,0.8541
20,19,0.2812,0.3656,54,0.7561,0.7782
20,20,0.1734,0.1969,90,0.6098,0.6498
20,21,0.0984,0.1313,80,0.6354,0.7122
20,22,0.2906,0.4313,26,0.8072,0.8571
20,23,0.2594,0.3563,30,0.5844,0.8544
20,24,0.2781,0.4313,30,0.5162,0.8454
20,25,0.307,0.4031,36,0.7206,0.8531
20,26,0.1641,0.2719,93,0.3004,0.6009
