time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.3719,0.4125,54,0.637,0.7173
0,1,0.4519,0.7406,27,0.5685,0.7731
0,2,0.8125,0.9563,6,0.6584,0.7297
0,3,0.5672,0.9187,9,0.6811,0.8195
0,4,0.325,0.4594,44,0.6974,0.7877
0,5,0.6562,0.7875,38,0.537,0.7683
0,6,0.6281,0.8438,44,0.4133,0.6743
0,7,0.6875,0.9656,6,0.6341,0.7539
0,8,0.6281,0.7875,20,0.6827,0.7959
0,9,0.4469,0.6844,38,0.6889,0.7634
0,10,0.4711,0.8719,20,0.4752,0.7818
0,11,0.5531,0.7031,21,0.6797,0.7789
0,12,0.1781,0.3094,71,0.4527,0.6794
0,13,0.2288,0.6188,36,0.3915,0.8038
0,14,0.5578,0.9187,9,0.7084,0.8243
0,15,0.3187,0.4875,98,0.1994,0.4335
0,16,0.2437,0.3937,54,0.5315,0.7216
0,17,0.5672,0.7406,30,0.7239,0.8454
0,18,0.2109,0.3094,44,0.4797,0.8009
0,19,0.2297,0.375,63,0.4858,0.685
0,20,0.1453,0.1875,126,0.4145,0.5154
0,21,0.1172,0.1406,81,0.6422,0.7207
0,22,0.2484,0.3656,39,0.7744,0.8079
0,23,0.1906,0.2625,65,0.4697,0.728
0,24,0.2,0.3375,48,0.4531,0.7736
0,25,0.2742,0.3563,27,0.7273,0.8924
0,26,0.1172,0.225,54,0.3911,0.7823
0,27,0.0938,0.1781,84,0.3403,0.6806
5,0,0.4906,0.5813,21,0.6093,0.8591
5,1,0.555,0.8156,12,0.6921,0.8378
5,2,0.8812,0.9469,3,0.7559,0.8235
5,3,0.6305,0.9469,3,0.7575,0.8446
5,4,0.4344,0.6281,21,0.6973,0.8846
5,5,0.8344,0.9656,3,0.7791,0.8673
5,6,0.7562,0.9844,3,0.6492,0.7783
5,7,0.7687,0.9938,2,0.3996,0.6761
5,8,0.7031,0.9,9,0.7703,0.8475
5,9,0.5406,0.8156,15,0.7126,0.7458
5,10,0.5273,0.9938,2,0.3414,0.7447
5,11,0.675,0.9,21,0.6527,0.8024
5,12,0.2125,0.3469,48,0.6932,0.7703
5,13,0.2625,0.7219,33,0.3761,0.8398
5,14,0.6422,0.9938,2,0.6078,0.8643
5,15,0.375,0.5625,33,0.5064,0.7692
5,16,0.3141,0.4781,47,0.6736,0.7186
5,17,0.6844,0.825,15,0.7633,0.7945
5,18,0.3375,0.45,33,0.6704,0.8125
5,19,0.2484,0.3563,63,0.5216,0.6942
5,20,0.1734,0.1969,123,0.4923,0.5214
5,21,0.1313,0.1406,72,0.6537,0.7438
5,22,0.2719,0.4125,36,0.7478,0.8085
5,23,0.2312,0.3469,54,0.5005,0.7416
5,24,0.2594,0.5062,21,0.5419,0.8671
5,25,0.307,0.4125,24,0.7758,0.8723
5,26,0.1313,0.2531,48,0.3996,0.7992
5,27,0.0984,0.1875,54,0.3962,0.7923
10,0,0.6063,0.7219,15,0.6549,0.8515
10,1,0.6206,0.8531,12,0.6977,0.7836
10,2,0.9094,0.9656,3,0.7502,0.7805
10,3,0.668,0.9938,2,0.6024,0.8421
10,4,0.4937,0.6656,14,0.7148,0.8692
10,5,0.8875,0.975,3,0.7377,0.8023
10,6,0.75,0.9563,3,0.7363,0.7857
10,7,0.7812,0.9844,3,0.6396,0.7857
10,8,0.6797,0.9,12,0.7747,0.8558
10,9,0.5656,0.8344,21,0.7511,0.8618
10,10,0.5297,0.9938,2,0.4106,0.8364
10,11,0.7242,0.9938,2,0.5651,0.7717
10,12,0.225,0.3469,33,0.7388,0.8421
10,13,0.2644,0.7219,21,0.4367,0.8326
10,14,0.6562,0.975,3,0.7759,0.8624
10,15,0.4094,0.6094,30,0.4952,0.7656
10,16,0.3937,0.6,21,0.7391,0.8359
10,17,0.75,0.9,6,0.8359,0.8594
10,18,0.4359,0.5344,27,0.65,0.8188
10,19,0.2953,0.3656,63,0.6412,0.6897
10,20,0.1781,0.1875,104,0.4842,0.6
10,21,0.1313,0.1406,72,0.7036,0.7382
10,22,0.2578,0.4031,45,0.6973,0.7644
10,23,0.2531,0.4031,39,0.5269,0.8326
10,24,0.2844,0.5813,9,0.5638,0.9328
10,25,0.2977,0.3844,39,0.6964,0.802
10,26,0.1266,0.2437,57,0.3822,0.7645
10,27,0.1078,0.2062,47,0.4075,0.815
15,0,0.6562,0.7688,12,0.7644,0.8378
15,1,0.6769,0.9281,6,0.6816,0.8421
15,2,0.9188,0.9469,3,0.8071,0.8286
15,3,0.675,0.975,3,0.7413,0.877
15,4,0.5437,0.6937,14,0.7908,0.8571
15,5,0.9313,0.9844,3,0.686,0.8723
15,6,0.75,0.9563,3,0.7805,0.7926
15,7,0.8,0.9844,3,0.5066,0.7198
15,8,0.682,0.9469,6,0.7532,0.8378
15,9,0.5969,0.8719,3,0.86,0.9268
15,10,0.5437,0.9938,2,0.4192,0.8452
15,11,0.7523,0.9844,3,0.695,0.8636
15,12,0.25,0.375,44,0.6681,0.78
15,13,0.2794,0.7594,24,0.4014,0.7294
15,14,0.6773,0.9844,3,0.677,0.8643
15,15,0.4219,0.6281,30,0.5007,0.7541
15,16,0.4125,0.6094,21,0.8104,0.832
15,17,0.7781,0.9094,6,0.8435,0.8938
15,18,0.4875,0.5719,18,0.6463,0.8686
15,19,0.3094,0.3563,63,0.4806,0.6942
15,20,0.2062,0.2344,90,0.5369,0.6327
15,21,0.1219,0.1219,69,0.7117,0.7544
15,22,0.2438,0.3844,39,0.678,0.802
15,23,0.2781,0.4125,30,0.5639,0.8624
15,24,0.2969,0.525,21,0.5284,0.8618
15,25,0.3117,0.4406,39,0.7699,0.8446
15,26,0.1406,0.2719,57,0.3777,0.7554
15,27,0.1172,0.225,42,0.4153,0.8306
20,0,0.6656,0.8063,12,0.7844,0.8378
20,1,0.6806,0.8906,9,0.703,0.819
20,2,0.9031,0.9469,3,0.8622,0.9211
20,3,0.668,0.9469,3,0.7758,0.8739
20,4,0.5656,0.7219,18,0.7018,0.8125
