time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.4188,0.4688,54,0.5801,0.7453
0,1,0.4987,0.75,45,0.3312,0.5109
0,2,0.875,0.9844,3,0.4524,0.6897
0,3,0.6234,0.975,3,0.638,0.6946
0,4,0.4344,0.6656,27,0.6258,0.8115
0,5,0.8438,0.9938,2,0.4639,0.7377
0,6,0.7719,0.9469,12,0.3438,0.5531
0,7,0.7094,0.975,3,0.645,0.8125
0,8,0.7523,0.8906,6,0.7407,0.8636
0,9,0.5344,0.8812,9,0.6821,0.7632
0,10,0.5156,0.9656,6,0.4319,0.7624
0,11,0.5508,0.7219,21,0.6509,0.7857
0,12,0.1969,0.3563,36,0.5275,0.8252
0,13,0.225,0.5437,39,0.3681,0.802
0,14,0.5766,0.8531,27,0.6586,0.7584
0,15,0.3344,0.525,38,0.4147,0.75
0,16,0.2719,0.4031,78,0.5176,0.5916
0,17,0.4922,0.6375,54,0.5475,0.7416
0,18,0.2484,0.375,63,0.5347,0.685
0,19,0.2203,0.3469,81,0.4821,0.6124
0,20,0.1172,0.1406,158,0.3839,0.4552
0,21,0.0984,0.1219,81,0.5714,0.7264
0,22,0.2297,0.3281,96,0.5789,0.6043
0,23,0.2031,0.2812,42,0.5174,0.822
0,24,0.2125,0.3375,39,0.5292,0.8282
0,25,0.2859,0.3844,33,0.7541,0.8653
0,26,0.1219,0.2344,57,0.3837,0.7673
0,27,0.1078,0.2062,81,0.3406,0.6811
5,0,0.5875,0.7031,21,0.705,0.8433
5,1,0.6656,0.8719,6,0.7109,0.8537
5,2,0.925,0.975,5,0.5514,0.8085
5,3,0.6516,0.9844,3,0.7061,0.8645
5,4,0.5094,0.7406,12,0.7666,0.8554
5,5,0.875,0.9938,2,0.4927,0.7857
5,6,0.7594,0.9656,3,0.7687,0.8302
5,7,0.7656,0.9844,3,0.6347,0.7736
5,8,0.7805,0.9,6,0.6956,0.8421
5,9,0.6,0.9563,9,0.5911,0.7405
5,10,0.5813,0.9938,2,0.3545,0.8151
5,11,0.6539,0.8812,8,0.785,0.8235
5,12,0.2188,0.3469,39,0.5417,0.8134
5,13,0.2512,0.5906,39,0.3682,0.7926
5,14,0.6305,0.9656,5,0.686,0.8093
5,15,0.4125,0.6375,30,0.4736,0.7414
5,16,0.3563,0.4688,21,0.7399,0.8765
5,17,0.6094,0.7125,18,0.8072,0.8101
5,18,0.3234,0.4781,30,0.6245,0.8204
5,19,0.3422,0.45,57,0.6013,0.6761
5,20,0.1828,0.1875,132,0.4683,0.4981
5,21,0.1031,0.1406,90,0.6059,0.699
5,22,0.2344,0.3187,51,0.6808,0.7661
5,23,0.2656,0.3656,27,0.5456,0.867
5,24,0.3219,0.4969,27,0.5215,0.8439
5,25,0.2883,0.3563,42,0.782,0.8264
5,26,0.1266,0.225,48,0.4032,0.8065
5,27,0.1125,0.2156,42,0.4163,0.8327
10,0,0.6813,0.825,15,0.8017,0.8407
10,1,0.7688,0.9281,6,0.7072,0.8421
10,2,0.9469,0.9844,3,0.6234,0.7429
10,3,0.6727,0.9563,3,0.8115,0.8657
10,4,0.5531,0.7781,18,0.7947,0.8356
10,5,0.8906,0.9938,2,0.5482,0.8696
10,6,0.7469,0.9469,6,0.7063,0.8101
10,7,0.8375,0.9938,2,0.5494,0.8248
10,8,0.7875,0.9656,3,0.7518,0.878
10,9,0.6031,0.9187,6,0.7876,0.8054
10,10,0.5742,0.975,3,0.5559,0.8714
10,11,0.7289,0.975,3,0.7367,0.8433
10,12,0.2375,0.375,24,0.568,0.88
10,13,0.2738,0.6188,30,0.3721,0.8429
10,14,0.6469,0.9563,3,0.7958,0.8264
10,15,0.4875,0.7406,27,0.4122,0.7065
10,16,0.45,0.5813,21,0.745,0.8433
10,17,0.7219,0.8438,11,0.7884,0.7969
10,18,0.3891,0.5531,24,0.7246,0.8322
10,19,0.4219,0.4969,30,0.7705,0.8137
10,20,0.225,0.2719,84,0.6472,0.6806
10,21,0.0984,0.1406,75,0.6467,0.7517
10,22,0.2203,0.3,90,0.6209,0.6436
10,23,0.2594,0.3469,36,0.5368,0.8371
10,24,0.3531,0.5906,30,0.5152,0.7746
10,25,0.2859,0.375,36,0.7746,0.82
10,26,0.1172,0.2062,36,0.4291,0.8583
10,27,0.1313,0.2531,42,0.4121,0.8243
15,0,0.7375,0.9187,6,0.825,0.8739
15,1,0.825,0.9656,6,0.6444,0.8475
15,2,0.9562,0.9938,2,0.5068,0.7931
15,3,0.6656,0.9187,6,0.792,0.8657
15,4,0.5844,0.8719,6,0.8435,0.8594
15,5,0.925,0.9938,2,0.4205,0.8615
15,6,0.7562,0.9375,6,0.7583,0.871
15,7,0.8281,0.9938,2,0.4837,0.7273
15,8,0.7852,0.9094,6,0.7769,0.8101
15,9,0.6281,0.9094,9,0.7916,0.8941
15,10,0.6023,0.9844,3,0.5232,0.8626
15,11,0.757,0.9469,3,0.7593,0.8235
15,12,0.2594,0.4125,24,0.6376,0.8723
15,13,0.2869,0.6469,24,0.4219,0.8818
15,14,0.6516,0.9375,9,0.7036,0.8315
15,15,0.525,0.8063,21,0.3016,0.7273
15,16,0.4969,0.6281,9,0.8292,0.9244
15,17,0.7828,0.9375,3,0.8368,0.85
15,18,0.4359,0.6094,21,0.7635,0.832
15,19,0.4219,0.4594,30,0.7915,0.8266
15,20,0.2391,0.2812,75,0.4823,0.7082
15,21,0.0938,0.1313,98,0.5734,0.6755
15,22,0.2297,0.3281,62,0.742,0.777
15,23,0.2625,0.3469,42,0.5664,0.8174
15,24,0.3625,0.6,20,0.5308,0.8438
15,25,0.3,0.3844,36,0.7968,0.8173
15,26,0.1172,0.1969,45,0.4125,0.8249
15,27,0.1313,0.2531,56,0.3828,0.7657
20,0,0.7781,0.9844,3,0.7099,0.8855
20,1,0.8662,0.975,3,0.7542,0.8318
20,2,0.9656,0.9938,2,0.4547,0.7391
20,3,0.6656,0.9094,3,0.8219,0.8966
20,4,0.6156,0.9094,6,0.7505,0.8269
20,5,0.9344,0.9844,3,0.6217,0.84
20,6,0.7531,0.9375,6,0.8052,0.8714
20,7,0.8219,0.9656,6,0.5956,0.6853
20,8,0.7852,0.9187,6,0.7714,0.8507
20,9,0.6406,0.9469,3,0.8367,0.8765
20,10,0.6188,0.975,3,0.5663,0.877
20,11,0.7805,0.9094,6,0.7917,0.8909
20,12,0.2844,0.45,24,0.6559,0.8636
20,13,0.3094,0.6844,18,0.4876,0.867
20,14,0.6703,0.9469,3,0.8124,0.8235
20,15,0.55,0.8625,12,0.5053,0.7887
20,16,0.5391,0.6562,15,0.7859,0.8636
20,17,0.7688,0.8906,9,0.7918,0.8407
20,18,0.4547,0.5906,27,0.5896,0.7939
20,19,0.45,0.525,27,0.8137,0.8224
20,20,0.2484,0.3,156,0.288,0.393
20,21,0.1031,0.1594,63,0.696,0.7658
20,22,0.2578,0.375,60,0.6918,0.7
20,23,0.2625,0.3187,42,0.5684,0.8125
20,24,0.3781,0.5813,24,0.5316,0.8209
20,25,0.3164,0.4219,21,0.7935,0.9037
20,26,0.1219,0.1969,42,0.4183,0.8366
20,27,0.1406,0.2719,60,0.3712,0.7425
25,0,0.7812,0.9563,3,0.8264,0.8515
25,1,0.8531,0.9281,3,0.7799,0.8696
25,2,0.975,0.9938,2,0.4702,0.7857
25,3,0.6352,0.825,6,0.883,0.9077
25,4,0.6125,0.9094,6,0.7514,0.8776
25,5,0.9188,0.9563,3,0.7917,0.8235
25,6,0.7719,0.9656,6,0.7455,0.9077
25,7,0.8375,0.975,3,0.6129,0.7591
25,8,0.8016,0.9094,3,0.8549,0.9062
25,9,0.6562,0.9281,6,0.8153,0.8645
25,10,0.6164,0.9938,2,0.4262,0.8626
25,11,0.7828,0.9281,6,0.7341,0.85
25,12,0.2844,0.4031,33,0.7048,0.8272
25,13,0.3281,0.7406,15,0.4822,0.8585
25,14,0.6656,0.8812,6,0.824,0.8482
25,15,0.5781,0.9,6,0.5327,0.8125
25,16,0.5578,0.6562,15,0.8191,0.8636
25,17,0.7828,0.9094,3,0.8801,0.8966
25,18,0.4594,0.5719,27,0.6431,0.8029
25,19,0.4688,0.4969,15,0.8445,0.9068
25,20,0.2578,0.3281,114,0.3343,0.5615
25,21,0.1078,0.1688,63,0.6947,0.7632
25,22,0.2719,0.4125,45,0.7454,0.7606
25,23,0.2562,0.3,36,0.6153,0.8393
25,24,0.375,0.5813,24,0.5197,0.8209
25,25,0.3469,0.4688,33,0.8113,0.8512
25,26,0.1172,0.1875,63,0.3788,0.7577
25,27,0.1641,0.3187,69,0.3417,0.6835
30,0,0.7906,0.9563,3,0.8318,0.9053
30,1,0.8681,0.9469,3,0.7157,0.8286
30,2,0.9469,0.9844,3,0.6731,0.85
30,3,0.6258,0.825,12,0.824,0.8811
30,4,0.6219,0.9,6,0.7769,0.8761
30,5,0.9094,0.9563,3,0.8251,0.8696
30,6,0.7531,0.9469,6,0.8091,0.8929
30,7,0.8531,0.975,3,0.7532,0.8487
30,8,0.7641,0.9,6,0.8379,0.8953
30,9,0.6437,0.9094,6,0.8288,0.8481
30,10,0.6328,0.9938,2,0.4401,0.9182
30,11,0.7781,0.9,6,0.7635,0.8193
30,12,0.2563,0.3187,51,0.7115,0.8145
30,13,0.3169,0.6937,15,0.4863,0.8469
30,14,0.6445,0.8812,6,0.7914,0.8421
30,15,0.5719,0.9,3,0.587,0.9062
30,16,0.4969,0.5437,15,0.8378,0.8973
30,17,0.7406,0.825,6,0.8828,0.8929
30,18,0.4406,0.5906,18,0.7331,0.8626
30,19,0.4922,0.5156,15,0.8193,0.9032
30,20,0.2859,0.3375,69,0.5054,0.7184
30,21,0.1031,0.1594,71,0.6811,0.7361
30,22,0.2672,0.3844,45,0.7148,0.7716
30,23,0.2687,0.3,36,0.6072,0.8393
30,24,0.3781,0.5719,15,0.5587,0.8951
30,25,0.3586,0.5062,30,0.798,0.8465
30,26,0.1125,0.1781,33,0.4373,0.8745
30,27,0.1734,0.3375,45,0.3939,0.7877
35,0,0.7719,0.8812,3,0.8847,0.9211
35,1,0.8512,0.9469,3,0.7678,0.8235
35,2,0.9344,0.9938,2,0.5706,0.8696
35,3,0.6328,0.8812,6,0.8458,0.8816
35,4,0.625,0.8719,9,0.8345,0.8632
35,5,0.9219,0.975,3,0.6774,0.76
35,6,0.7469,0.9563,3,0.8565,0.9221
35,7,0.8563,0.9844,3,0.5789,0.6897
35,8,0.7641,0.9187,6,0.8043,0.8657
35,9,0.6594,0.9281,6,0.7833,0.8531
35,10,0.6492,0.9938,2,0.3978,0.8218
35,11,0.7688,0.8625,8,0.813,0.8831
35,12,0.2625,0.3281,60,0.5778,0.7209
35,13,0.3319,0.7312,12,0.4978,0.8605
35,14,0.675,0.9469,6,0.7986,0.8929
35,15,0.5656,0.9,6,0.5453,0.8235
35,16,0.4969,0.5531,18,0.8281,0.8741
35,17,0.7031,0.8344,9,0.8421,0.854
35,18,0.4594,0.6469,18,0.7015,0.8407
35,19,0.4875,0.5344,18,0.772,0.8792
35,20,0.2859,0.3375,54,0.6209,0.7796
35,21,0.1125,0.1688,35,0.82,0.8684
35,22,0.2719,0.3937,33,0.7771,0.8299
35,23,0.2781,0.3187,30,0.6601,0.8712
35,24,0.3875,0.5906,24,0.5332,0.8286
35,25,0.3609,0.4781,33,0.7787,0.8278
35,26,0.1172,0.1781,36,0.4316,0.8631
35,27,0.1828,0.3563,51,0.3762,0.7524
40,0,0.7781,0.8812,9,0.8151,0.8916
40,1,0.8588,0.9187,5,0.7812,0.8571
40,2,0.95,0.975,3,0.7151,0.7931
40,3,0.6352,0.8625,6,0.8566,0.9085
40,4,0.6219,0.8812,3,0.8498,0.9211
40,5,0.9188,0.9563,6,0.6544,0.7447
40,6,0.7469,0.9281,3,0.8496,0.8741
40,7,0.8781,0.975,3,0.6487,0.6739
40,8,0.7641,0.9281,3,0.749,0.8696
40,9,0.6656,0.9187,3,0.8599,0.8846
40,10,0.6375,0.9938,2,0.4317,0.8846
40,11,0.7852,0.9375,8,0.7357,0.8784
40,12,0.2719,0.3563,47,0.6212,0.7718
40,13,0.345,0.75,12,0.4976,0.85
40,14,0.675,0.9375,3,0.8552,0.8929
40,15,0.575,0.9,6,0.5364,0.8125
40,16,0.4359,0.5062,18,0.847,0.8861
40,17,0.6703,0.8344,6,0.8706,0.8868
40,18,0.45,0.6281,15,0.6623,0.8739
40,19,0.4969,0.5625,21,0.8343,0.85
40,20,0.2812,0.3,54,0.6311,0.7712
40,21,0.1125,0.1688,35,0.82,0.8684
40,22,0.2906,0.4125,24,0.8403,0.8723
40,23,0.2625,0.2906,42,0.6244,0.8197
40,24,0.3687,0.5813,18,0.5533,0.8839
40,25,0.3727,0.4688,18,0.8454,0.895
40,26,0.1125,0.1781,48,0.4137,0.8175
40,27,0.1828,0.3563,27,0.4345,0.8689
45,0,0.7781,0.9187,3,0.8539,0.8846
45,1,0.8512,0.9094,6,0.793,0.8868
45,2,0.9313,0.9844,3,0.7127,0.8696
45,3,0.6281,0.8812,6,0.8711,0.896
45,4,0.625,0.8625,6,0.8424,0.8636
45,5,0.9094,0.975,3,0.7033,0.8235
45,6,0.7125,0.8063,6,0.8693,0.9032
45,7,0.9125,0.9938,2,0.4199,0.7097
45,8,0.75,0.9187,3,0.8166,0.8966
45,9,0.6531,0.8719,6,0.8354,0.8741
45,10,0.6305,0.9938,2,0.4305,0.9135
45,11,0.7805,0.9187,12,0.6878,0.774
45,12,0.2687,0.3469,47,0.6664,0.7751
45,13,0.345,0.7312,9,0.5178,0.8953
45,14,0.6844,0.9375,6,0.7792,0.8475
45,15,0.5719,0.9,9,0.5084,0.8065
45,16,0.3891,0.4125,21,0.8333,0.8883
45,17,0.6141,0.75,12,0.8352,0.85
45,18,0.4219,0.6,15,0.7265,0.8828
45,19,0.4969,0.5813,15,0.8403,0.8881
45,20,0.2953,0.3187,54,0.5057,0.7682
45,21,0.1172,0.1781,30,0.7493,0.8859
45,22,0.2812,0.3937,30,0.8099,0.8454
45,23,0.2656,0.3094,36,0.6454,0.8388
45,24,0.3687,0.5813,18,0.5574,0.8657
45,25,0.382,0.5156,18,0.8507,0.8981
45,26,0.0938,0.15,42,0.4325,0.8456
45,27,0.1922,0.375,27,0.4325,0.865
50,0,0.7969,0.9,3,0.8342,0.9062
50,1,0.8662,0.975,3,0.7198,0.88
50,2,0.9125,0.9469,3,0.8539,0.8846
50,3,0.607,0.8156,6,0.8946,0.9072
50,4,0.6312,0.8344,9,0.807,0.8302
50,5,0.8906,0.9656,3,0.7464,0.8235
50,6,0.7062,0.825,6,0.8916,0.9084
50,7,0.9125,0.9938,2,0.4699,0.7097
50,8,0.7477,0.9,3,0.8449,0.9211
50,9,0.6437,0.8812,6,0.8746,0.9051
50,10,0.6211,0.9938,2,0.4371,0.9182
50,11,0.7805,0.9469,3,0.806,0.8615
50,12,0.2781,0.3469,36,0.6602,0.8302
50,13,0.3581,0.7594,9,0.5233,0.8831
