time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.4,0.4594,54,0.6215,0.7311
0,1,0.495,0.8438,24,0.5663,0.7672
0,2,0.8156,0.9656,3,0.7122,0.7458
0,3,0.5789,0.9281,9,0.6159,0.6901
0,4,0.3469,0.5156,42,0.711,0.7661
0,5,0.7438,0.9,23,0.449,0.7097
0,6,0.6312,0.7781,24,0.6618,0.7624
0,7,0.7406,0.9938,2,0.5384,0.831
0,8,0.6656,0.7781,15,0.6798,0.7887
0,9,0.525,0.825,12,0.7147,0.7857
0,10,0.5062,0.9375,15,0.3414,0.7227
0,11,0.5203,0.6375,24,0.7061,0.7931
0,12,0.2,0.3656,57,0.4819,0.7192
0,13,0.2194,0.5906,24,0.3967,0.8326
0,14,0.5508,0.8812,18,0.7105,0.8421
0,15,0.3375,0.5625,68,0.2776,0.5143
0,16,0.2766,0.4406,42,0.6362,0.7654
0,17,0.5344,0.7312,30,0.7478,0.8443
0,18,0.2437,0.375,39,0.5293,0.805
0,19,0.2203,0.3375,78,0.499,0.6321
0,20,0.1313,0.15,141,0.4204,0.4816
0,21,0.1312,0.1594,87,0.577,0.6766
0,22,0.2531,0.375,45,0.7742,0.775
0,23,0.2094,0.3,48,0.5275,0.7866
0,24,0.1969,0.2906,51,0.5081,0.7753
0,25,0.2789,0.45,30,0.7605,0.8819
0,26,0.1078,0.2062,42,0.4173,0.8346
0,27,0.1172,0.225,72,0.3548,0.7097
5,0,0.5031,0.6,39,0.6915,0.805
5,1,0.5906,0.8625,24,0.6354,0.7434
5,2,0.8625,0.9938,2,0.4974,0.8615
5,3,0.6305,0.9844,3,0.6471,0.7677
5,4,0.4031,0.6,27,0.7145,0.7891
5,5,0.825,0.9656,6,0.66,0.7714
5,6,0.7594,0.9938,2,0.533,0.8101
5,7,0.8344,0.975,3,0.7269,0.8286
5,8,0.7406,0.8906,9,0.7451,0.8732
5,9,0.5312,0.7219,9,0.7545,0.8989
5,10,0.5367,0.975,3,0.502,0.7245
5,11,0.5977,0.8344,12,0.7249,0.7736
5,12,0.2125,0.3563,36,0.6012,0.8252
5,13,0.2475,0.6656,18,0.41,0.8852
5,14,0.6141,0.9938,2,0.5853,0.8741
5,15,0.3937,0.6562,45,0.4013,0.6129
5,16,0.3937,0.5437,27,0.6183,0.8151
5,17,0.6469,0.8063,9,0.7201,0.8548
5,18,0.3469,0.5156,57,0.4131,0.6323
5,19,0.2531,0.3937,36,0.5868,0.8144
5,20,0.1078,0.15,78,0.5205,0.7132
5,21,0.15,0.1781,75,0.7011,0.7331
5,22,0.2531,0.375,63,0.6992,0.7734
5,23,0.2375,0.3937,27,0.5248,0.8608
5,24,0.2406,0.4031,48,0.5014,0.7557
5,25,0.2531,0.4125,33,0.7584,0.8685
5,26,0.1031,0.1969,105,0.2957,0.5914
5,27,0.1031,0.1781,63,0.3802,0.7605
10,0,0.5781,0.6562,18,0.7279,0.8516
10,1,0.6412,0.8719,12,0.6791,0.8652
10,2,0.8688,0.9844,3,0.6577,0.8732
10,3,0.6539,0.9563,3,0.7949,0.8091
10,4,0.4375,0.6094,21,0.7373,0.832
10,5,0.8531,0.9656,3,0.7649,0.8043
10,6,0.7969,0.9938,2,0.5073,0.7761
10,7,0.85,0.9656,3,0.7074,0.8235
10,8,0.7266,0.8625,6,0.7446,0.8868
10,9,0.5875,0.7312,12,0.7984,0.8605
10,10,0.5437,0.9844,3,0.4922,0.8137
10,11,0.6633,0.9,6,0.7487,0.8591
10,12,0.2625,0.4313,33,0.6969,0.8187
10,13,0.2625,0.6844,15,0.3956,0.8515
10,14,0.6445,0.9938,2,0.5326,0.8792
10,15,0.4531,0.7594,38,0.4029,0.7023
10,16,0.4875,0.6375,26,0.5577,0.7759
10,17,0.7266,0.9375,6,0.7081,0.7161
10,18,0.4266,0.6,21,0.5811,0.8359
10,19,0.2578,0.3937,39,0.6753,0.799
10,20,0.1172,0.1781,92,0.4923,0.6502
10,21,0.1313,0.15,72,0.6722,0.7353
10,22,0.2437,0.3656,33,0.6999,0.8374
10,23,0.2406,0.45,27,0.5507,0.8466
10,24,0.2594,0.4781,27,0.5159,0.8383
10,25,0.2578,0.4031,30,0.7309,0.8669
10,26,0.0938,0.1781,81,0.346,0.692
10,27,0.1266,0.2062,63,0.376,0.752
15,0,0.6188,0.7219,15,0.7808,0.8469
15,1,0.6881,0.8812,6,0.7061,0.8868
15,2,0.8812,0.9844,3,0.6262,0.8732
15,3,0.668,0.9563,3,0.8005,0.8154
15,4,0.4688,0.6281,12,0.7789,0.8992
15,5,0.8688,0.9938,2,0.5335,0.8537
