time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
0,0,0.4031,0.4594,60,0.6197,0.6742
0,1,0.4631,0.6937,27,0.5289,0.7477
0,2,0.8531,0.975,6,0.5193,0.7317
0,3,0.6023,0.9844,3,0.5365,0.7364
0,4,0.3656,0.6375,33,0.6291,0.7563
0,5,0.7938,0.9094,12,0.6819,0.7787
0,6,0.7094,0.8812,11,0.6755,0.7273
0,7,0.725,0.9938,2,0.5077,0.7662
0,8,0.7359,0.9094,11,0.6571,0.6919
0,9,0.4875,0.7406,12,0.7587,0.8554
0,10,0.5203,0.9938,2,0.3348,0.6757
0,11,0.5203,0.6469,26,0.7641,0.8015
0,12,0.1656,0.2719,48,0.497,0.794
0,13,0.2362,0.5906,27,0.3318,0.8608
0,14,0.5906,0.8625,12,0.7873,0.8235
0,15,0.3875,0.6562,47,0.3897,0.5963
0,16,0.2391,0.3375,57,0.5128,0.7311
0,17,0.5109,0.5906,42,0.69,0.7692
0,18,0.2625,0.3844,51,0.5069,0.7411
0,19,0.1828,0.3187,84,0.4991,0.6147
0,20,0.1172,0.15,161,0.4275,0.4505
0,21,0.1125,0.1219,93,0.5515,0.676
0,22,0.2297,0.3281,65,0.6343,0.7662
0,23,0.2125,0.3094,75,0.4501,0.6695
0,24,0.1969,0.3094,48,0.4487,0.794
0,25,0.3164,0.45,33,0.7352,0.8685
0,26,0.1313,0.2531,93,0.3054,0.6109
0,27,0.1406,0.2719,69,0.3519,0.7039
5,0,0.5187,0.6375,18,0.6604,0.8448
5,1,0.5981,0.9094,9,0.5954,0.7353
5,2,0.9094,0.9844,3,0.6208,0.8154
5,3,0.6703,0.9844,3,0.6502,0.7594
5,4,0.45,0.6844,39,0.6692,0.7578
5,5,0.8625,0.9844,3,0.5955,0.7327
5,6,0.7812,0.9844,3,0.6527,0.8154
5,7,0.7781,0.9938,2,0.5114,0.7857
5,8,0.7711,0.9,9,0.765,0.82
5,9,0.55,0.75,9,0.8657,0.8875
5,10,0.5133,0.9563,3,0.603,0.8776
5,11,0.6258,0.7688,15,0.7581,0.8043
5,12,0.1844,0.2812,45,0.6445,0.8043
5,13,0.2606,0.675,30,0.3655,0.8522
5,14,0.6586,0.8812,9,0.7526,0.8318
5,15,0.45,0.7594,33,0.4349,0.7591
5,16,0.3281,0.45,33,0.7173,0.8125
5,17,0.6703,0.7594,9,0.8184,0.8831
5,18,0.3563,0.4313,45,0.4416,0.7527
5,19,0.2344,0.4125,51,0.6226,0.7287
5,20,0.1453,0.1781,128,0.5084,0.5133
5,21,0.1266,0.1313,78,0.7013,0.7194
5,22,0.2484,0.375,54,0.6835,0.73
5,23,0.2625,0.3937,27,0.5687,0.8608
5,24,0.2594,0.3844,24,0.5711,0.8782
5,25,0.3797,0.5437,36,0.7324,0.8548
5,26,0.15,0.2906,60,0.3678,0.7357
5,27,0.1781,0.3094,60,0.3643,0.7285
10,0,0.6312,0.825,12,0.7449,0.8465
10,1,0.705,0.9656,3,0.7352,0.7964
10,2,0.9219,0.975,3,0.7127,0.7857
10,3,0.7125,0.9844,3,0.6953,0.8299
10,4,0.5469,0.7594,24,0.6433,0.8033
10,5,0.9188,0.9938,2,0.4233,0.8154
10,6,0.7969,0.9938,2,0.5367,0.8554
10,7,0.8438,0.9938,2,0.5023,0.7692
10,8,0.8156,0.9844,3,0.6374,0.7987
10,9,0.5906,0.7781,18,0.8232,0.8714
10,10,0.5672,0.9844,3,0.4977,0.7966
10,11,0.668,0.9563,6,0.7285,0.837
10,12,0.2063,0.3,60,0.5767,0.7321
10,13,0.3,0.7219,12,0.4689,0.8652
10,14,0.7242,0.9469,6,0.7603,0.8605
10,15,0.4844,0.825,9,0.5251,0.8393
10,16,0.3891,0.525,27,0.7438,0.8224
10,17,0.7359,0.8719,9,0.7965,0.8125
10,18,0.4594,0.5156,24,0.6268,0.8452
10,19,0.2953,0.5156,33,0.7719,0.7871
10,20,0.1922,0.2344,84,0.6356,0.6571
10,21,0.1359,0.1406,42,0.7887,0.8473
10,22,0.2812,0.4219,39,0.7091,0.7892
10,23,0.3094,0.4406,27,0.5849,0.8522
10,24,0.3062,0.4594,18,0.5825,0.896
10,25,0.3937,0.6094,33,0.753,0.7866
10,26,0.1547,0.3,48,0.3929,0.7857
10,27,0.2062,0.3281,35,0.4186,0.8372
15,0,0.6594,0.9094,6,0.7714,0.8211
15,1,0.735,0.9844,3,0.6997,0.8286
15,2,0.9313,0.9938,2,0.4702,0.7857
15,3,0.7312,0.9844,3,0.7599,0.8883
15,4,0.5875,0.7781,24,0.6456,0.75
15,5,0.9437,0.9938,2,0.1933,0.58
15,6,0.7812,0.9469,6,0.7787,0.8469
15,7,0.8781,0.9938,2,0.412,0.7653
15,8,0.8086,0.9656,5,0.7181,0.8714
15,9,0.6219,0.7875,18,0.8024,0.8439
15,10,0.5836,0.9469,3,0.6055,0.8294
15,11,0.6586,0.9375,6,0.801,0.8657
15,12,0.225,0.3187,51,0.6913,0.7661
15,13,0.3244,0.7594,21,0.4256,0.7821
15,14,0.7453,0.9656,3,0.7807,0.8378
15,15,0.5062,0.8531,3,0.5569,0.9362
15,16,0.4266,0.5531,24,0.7844,0.8322
15,17,0.7875,0.9375,3,0.8474,0.85
15,18,0.4969,0.5531,21,0.6109,0.8531
15,19,0.3281,0.5906,39,0.7107,0.7191
15,20,0.2438,0.2906,119,0.4655,0.4758
15,21,0.1313,0.1406,69,0.7409,0.7544
15,22,0.3,0.4406,51,0.746,0.8104
15,23,0.3375,0.4688,30,0.5742,0.8429
15,24,0.3156,0.4875,27,0.5568,0.8354
15,25,0.4008,0.6469,33,0.7284,0.8017
15,26,0.1547,0.3,39,0.4129,0.8259
15,27,0.225,0.3469,26,0.4378,0.8756
20,0,0.7,0.9375,6,0.805,0.88
20,1,0.75,0.9469,3,0.8155,0.8696
20,2,0.8969,0.975,3,0.7393,0.9032
20,3,0.743,0.9469,3,0.8505,0.8922
20,4,0.6094,0.8156,12,0.6199,0.7966
20,5,0.9313,0.9938,2,0.2204,0.6613
20,6,0.8094,0.9938,2,0.5224,0.7921
20,7,0.8688,0.9844,3,0.5388,0.6449
20,8,0.7875,0.9375,5,0.7661,0.9109
20,9,0.6344,0.8063,9,0.8441,0.8558
20,10,0.5813,0.9281,3,0.6162,0.8696
20,11,0.6375,0.9375,3,0.848,0.8929
20,12,0.2406,0.3563,48,0.6901,0.767
20,13,0.3469,0.7969,9,0.483,0.8615
20,14,0.7477,0.9656,3,0.7346,0.8811
20,15,0.5,0.825,3,0.5869,0.9464
20,16,0.4266,0.5344,24,0.7841,0.8389
20,17,0.75,0.8625,12,0.7861,0.8448
20,18,0.5297,0.5719,36,0.5424,0.7372
20,19,0.3375,0.6,24,0.739,0.8125
20,20,0.2812,0.3469,63,0.5704,0.6986
20,21,0.1313,0.15,78,0.6586,0.7254
20,22,0.2859,0.4125,45,0.7887,0.8327
20,23,0.325,0.45,24,0.6362,0.88
20,24,0.2938,0.4688,21,0.5455,0.8765
20,25,0.3961,0.6562,36,0.7475,0.8154
20,26,0.1641,0.3187,36,0.4174,0.8349
20,27,0.225,0.3375,33,0.4222,0.8443
25,0,0.7188,0.9187,6,0.7526,0.8349
25,1,0.7819,0.9844,3,0.7633,0.88
25,2,0.9062,0.9844,3,0.7029,0.88
25,3,0.757,0.9375,3,0.8481,0.8989
25,4,0.6188,0.7406,15,0.7091,0.8193
25,5,0.8937,0.9656,3,0.7557,0.8235
25,6,0.8156,0.975,3,0.7808,0.8615
25,7,0.8844,0.9938,2,0.413,0.625
25,8,0.7828,0.975,3,0.7681,0.8992
25,9,0.6063,0.75,9,0.8588,0.8875
25,10,0.5719,0.9,6,0.5951,0.8286
25,11,0.6469,0.9656,3,0.8356,0.8881
25,12,0.2375,0.3656,48,0.6557,0.7811
