0 1 2 3
0 2 17 1
0 3 8 15
0 4 21 2
0 5 6 5
0 6 1 2
0 7 254 1
0 8 5 12
0 9 2 9
0 10 2 25
0 12 96 1
0 15 1 23
0 16 6 11
0 19 179 1
0 20 16 12
0 24 6 24
1 0 6 24
1 2 17 1
1 3 122 26
1 4 355 1
1 5 12 28
1 6 341 1
1 7 1 22
1 8 5 16
1 9 1 19
1 11 3 28
1 12 5 23
1 16 49 27
1 17 85 1
1 20 2 10
1 21 14 20
1 22 14 1
1 24 13 14
1 26 1 16
2 0 74 1
2 1 5 27
2 3 5 28
2 4 2 18
2 6 233 1
2 7 3 10
2 8 235 1
2 10 167 1
2 11 2 8
2 15 1 11
2 16 42 3
2 17 86 1
2 20 1 22
3 0 5 29
3 1 8 20
3 2 30 1
3 4 149 1
3 5 6 3
3 6 2 27
3 7 103 1
3 8 5 8
3 9 55 18
3 10 215 1
3 11 2 10
3 13 3 3
3 14 1 1
3 16 6 10
3 17 4 10
3 20 167 1
3 24 7 13
3 26 2 24
4 1 322 1
4 2 7 27
4 5 1 3
4 6 167 1
4 9 1 20
4 10 1 19
4 12 104 1
4 16 12 1
4 18 53 1
4 23 10 16
5 0 6 16
5 1 5 4
5 3 10 9
5 4 6 7
5 6 298 1
5 7 5 17
5 8 3 6
5 9 311 1
5 10 1 12
5 11 62 1
5 12 1 18
5 15 1 16
5 16 6 18
5 24 6 8
6 0 1 28
6 1 1 17
6 2 274 1
6 3 235 2
6 4 290 1
6 5 58 1
6 7 1 4
6 8 298 3
6 9 75 1
6 11 193 1
6 12 271 1
6 13 3 17
6 14 86 2
6 17 184 2
6 18 55 2
6 20 39 1
7 1 3 20
7 2 296 1
7 3 3 1
7 4 2 7
7 5 11 3
7 6 3 22
7 9 2 1
7 10 15 8
7 11 119 1
7 12 149 1
7 13 152 1
7 15 1 19
7 17 1 5
7 20 146 1
7 23 1 1
7 25 1 20
7 27 1 20
8 0 12 2
8 1 7 6
8 2 84 1
8 3 5 14
8 4 432 1
8 5 8 25
8 6 388 26
8 7 4 20
8 9 32 27
8 10 187 1
8 13 45 1
8 14 242 1
8 16 7 25
8 17 232 1
8 19 46 4
8 22 49 1
8 24 6 26
8 25 1 14
9 0 166 1
9 1 104 2
9 4 2 1
9 5 409 4
9 6 208 1
9 7 241 4
9 8 4 7
9 10 348 22
9 12 1 2
9 14 3 16
9 16 4 7
9 18 4 20
9 19 2 23
9 21 1 21
9 23 1 28
9 25 1 26
10 0 239 4
10 1 2 1
10 5 320 2
10 6 81 1
10 7 17 15
10 8 152 1
10 9 175 1
10 11 425 1
10 12 1 1
10 13 148 1
10 14 3 29
10 15 5 15
10 18 1 23
10 24 1 12
10 25 2 27
10 26 1 11
11 1 2 29
11 2 12 6
11 3 24 20
11 4 2 21
11 5 1 8
11 6 1 20
11 7 20 20
11 8 20 1
11 9 97 2
11 10 7 17
11 12 165 1
11 13 182 1
11 15 3 24
11 16 79 15
11 20 1 20
11 23 171 1
11 24 347 1
11 25 34 14
11 27 111 25
12 0 3 23
12 5 2 1
12 6 15 1
12 7 92 1
12 8 2 14
12 9 4 3
12 10 3 5
12 13 141 1
12 15 2 13
12 21 111 5
12 22 54 1
12 23 6 16
13 8 1 11
13 10 114 1
13 12 4 26
13 14 61 1
13 15 2 20
13 16 21 21
13 24 13 1
13 27 13 18
14 6 5 11
14 7 2 23
14 8 237 1
14 10 227 1
14 11 1 5
14 12 67 1
14 18 1 10
14 22 23 5
14 23 22 1
14 24 16 4
15 1 4 25
15 2 1 16
15 3 1 12
15 6 115 1
15 7 2 19
15 8 97 2
15 9 2 10
15 11 155 1
15 13 1 11
15 19 8 5
15 21 6 8
15 22 5 1
16 0 12 15
16 1 6 4
16 3 6 15
16 5 6 27
16 6 97 1
16 8 6 11
16 12 2 9
16 14 1 11
16 17 1 8
16 20 64 1
16 24 7 21
17 0 1 2
17 1 28 13
17 2 97 1
17 3 170 5
17 5 17 2
17 8 4 9
17 10 1 1
17 11 32 1
17 16 6 27
17 18 80 1
17 19 83 2
17 20 1 23
18 4 55 1
18 5 86 3
18 9 1 2
18 10 1 12
18 17 6 4
18 23 1 17
18 25 28 10
19 0 9 20
19 1 147 1
19 4 89 1
19 5 18 2
19 7 6 6
19 8 1 13
19 11 105 2
19 13 1 27
19 17 2 6
19 20 2 3
19 21 4 12
20 0 225 1
20 1 3 21
20 6 38 1
20 7 1 21
20 8 3 2
20 10 12 19
20 11 3 25
20 12 1 16
20 19 7 1
20 26 1 23
21 5 7 18
21 23 2 10
21 24 1 14
22 1 1 13
22 3 1 5
22 11 140 1
22 12 28 1
22 14 1 6
22 24 18 5
22 26 11 5
23 8 3 25
23 10 140 2
23 12 12 2
23 14 1 1
23 15 29 4
23 22 9 4
24 0 53 10
24 1 6 25
24 3 11 5
24 5 6 27
24 6 3 26
24 8 8 18
24 10 122 1
24 11 242 1
24 16 6 1
24 17 45 1
24 20 57 3
24 25 2 23
25 0 1 9
25 1 82 2
25 4 84 3
25 7 7 25
25 8 102 1
25 9 1 26
25 10 23 1
25 11 42 20
25 12 2 15
26 6 45 1
26 10 1 17
26 18 18 7
26 22 4 15
26 27 29 1
27 4 1 14
27 5 1 29
27 9 1 16
27 25 7 12
27 26 6 8
