0 1 2 3
0 2 57 28
0 3 95 9
0 4 360 1
0 5 17 10
0 6 332 1
0 7 11 1
0 8 31 1
0 10 1 11
0 11 317 3
0 13 1 11
0 14 6 4
0 16 443 1
0 18 44 1
0 19 1 28
0 24 35 1
1 0 17 1
1 2 16 22
1 3 45 2
1 4 87 1
1 5 9 15
1 7 187 1
1 8 303 1
1 16 47 22
1 17 397 1
1 20 206 1
1 21 1 23
1 22 12 1
1 24 40 3
2 1 5 12
2 3 9 1
2 4 1 8
2 5 84 1
2 7 3 11
2 8 256 1
2 9 38 2
2 10 1 26
2 11 67 1
2 13 11 12
2 14 1 2
2 17 54 1
2 19 19 22
3 0 10 1
3 2 214 1
3 5 27 18
3 6 5 23
3 7 7 25
3 8 30 1
3 9 2 29
3 10 13 2
3 11 12 6
3 16 9 2
3 20 4 23
3 24 9 21
4 0 3 11
4 1 12 12
4 2 5 9
4 3 4 11
4 5 99 1
4 6 246 1
4 7 1 28
4 8 444 2
4 9 1 24
4 10 275 1
4 11 167 2
4 16 1 4
4 17 2 9
4 18 252 1
5 0 10 1
5 1 55 1
5 3 82 2
5 4 120 1
5 6 14 15
5 7 4 10
5 8 33 2
5 9 91 1
5 15 34 4
5 16 112 5
5 17 43 3
5 18 60 1
5 20 1 19
5 24 34 1
6 0 2 1
6 1 5 1
6 2 121 1
6 3 124 1
6 4 2 14
6 5 87 10
6 7 137 1
6 8 53 7
6 9 81 1
6 10 19 5
6 11 202 1
6 13 25 1
6 16 1 28
6 18 1 21
6 21 1 16
7 0 8 7
7 1 1 4
7 2 1 11
7 3 5 8
7 4 72 1
7 6 2 2
7 8 249 1
7 10 2 28
7 11 286 27
7 12 111 1
7 15 6 25
7 17 47 1
7 21 2 29
7 22 1 19
7 23 2 15
7 24 238 4
7 25 325 3
7 27 35 11
8 0 44 29
8 1 54 11
8 2 203 1
8 3 50 1
8 5 7 27
8 6 270 8
8 7 5 27
8 9 291 2
8 10 26 11
8 11 2 4
8 13 3 6
8 14 2 12
8 16 31 1
8 17 2 12
8 19 128 1
8 20 262 1
8 24 17 26
8 25 166 1
9 0 1 27
9 2 3 27
9 3 82 2
9 4 33 1
9 5 5 11
9 6 6 11
9 7 2 26
9 10 167 4
9 11 206 18
9 16 2 22
9 17 33 1
9 19 37 1
9 21 1 24
9 23 3 3
10 0 1 29
10 1 232 1
10 3 1 11
10 4 1 7
10 6 421 1
10 7 1 21
10 8 9 20
10 9 1 15
10 11 65 1
10 12 2 12
10 13 68 1
10 14 1 7
10 15 6 20
10 16 48 3
10 17 1 28
10 18 14 1
10 19 41 1
10 20 166 4
10 21 34 6
10 22 1 16
10 24 41 3
10 26 120 1
11 0 29 1
11 1 4 16
11 3 1 29
11 4 19 2
11 6 1 13
11 7 2 18
11 8 3 18
11 9 1 2
11 10 8 11
11 12 2 12
11 13 149 2
11 14 381 11
11 15 4 29
11 20 228 2
11 22 2 24
11 24 398 1
11 25 98 1
12 0 64 5
12 1 58 1
12 4 37 1
12 5 206 1
12 6 2 15
12 7 103 1
12 9 55 1
12 10 1 23
12 13 2 2
12 15 38 1
12 16 11 7
12 17 104 2
12 22 1 21
12 23 1 25
13 1 7 18
13 6 1 8
13 8 184 1
13 10 173 1
13 11 108 1
13 14 45 1
13 17 1 28
13 22 4 1
13 24 19 2
14 0 1 3
14 1 2 13
14 4 1 4
14 6 47 1
14 7 1 1
14 11 3 5
14 15 111 2
14 17 1 2
14 20 7 1
14 22 1 18
14 26 25 4
15 1 116 2
15 8 1 25
15 9 1 14
15 11 3 6
15 13 20 3
15 16 3 3
15 23 39 13
16 0 5 16
16 1 20 1
16 3 43 25
16 4 1 3
16 5 9 26
16 8 12 8
16 14 37 1
16 17 4 1
16 18 2 26
16 24 67 4
17 0 215 1
17 1 2 2
17 2 3 17
17 7 31 4
17 8 1 16
17 10 2 6
17 11 1 27
17 16 2 2
17 18 5 6
18 1 8 5
18 4 11 17
18 5 2 4
18 7 147 2
18 8 1 25
18 9 3 9
18 17 162 1
18 19 1 11
18 20 1 18
18 22 1 8
19 6 112 1
19 8 74 2
19 9 1 17
19 20 4 8
19 24 11 7
20 0 260 1
20 2 88 2
20 3 1 3
20 7 2 8
20 10 180 1
20 15 39 3
20 19 10 24
20 26 1 9
21 0 10 5
21 4 15 15
21 8 1 15
21 15 15 23
21 16 2 6
22 1 2 29
22 7 64 2
22 9 2 3
22 10 157 1
22 12 65 1
22 13 9 1
22 19 3 12
23 0 63 1
23 7 165 4
23 8 1 4
23 11 82 1
23 17 66 1
23 18 25 18
24 0 413 1
24 1 25 1
24 3 30 3
24 5 38 1
24 7 3 27
24 8 330 1
24 10 1 2
24 11 3 8
24 14 1 3
24 16 357 1
24 23 32 3
25 5 14 18
25 7 157 1
25 8 1 20
25 9 1 14
25 10 1 9
25 11 332 1
25 14 1 18
25 19 1 7
25 20 88 1
26 0 51 3
26 4 1 13
26 10 1 23
26 27 10 2
27 1 1 15
27 2 7 1
27 4 46 2
27 5 2 1
27 7 2 26
27 8 119 1
27 11 2 8
27 13 14 3
27 15 31 1
27 24 1 7
27 25 2 2
