0 1 2 3
0 2 3 2
0 5 16 1
0 6 3 24
0 7 2 11
0 8 3 1
0 9 48 3
0 10 201 4
0 11 27 21
0 16 6 1
0 17 238 16
0 19 5 13
0 20 172 2
0 24 1 1
0 25 79 2
1 0 22 17
1 2 1 19
1 3 19 1
1 4 169 1
1 5 13 1
1 6 6 1
1 7 7 1
1 8 21 1
1 9 155 1
1 10 25 1
1 11 2 7
1 14 1 6
1 15 73 7
1 16 163 1
1 17 208 1
1 20 3 26
1 21 1 13
1 24 25 1
2 1 49 17
2 3 5 15
2 4 15 3
2 6 198 1
2 8 373 1
2 10 1 7
2 15 2 19
2 16 1 22
2 20 56 3
3 0 1 7
3 1 262 1
3 2 3 12
3 4 119 2
3 5 1 1
3 6 3 2
3 8 18 1
3 9 27 9
3 10 159 1
3 11 1 23
3 14 1 16
3 16 36 1
3 17 11 1
3 20 1 8
3 22 15 9
3 24 26 1
4 0 87 2
4 1 229 1
4 2 1 2
4 6 8 5
4 7 215 3
4 9 1 29
4 10 92 1
4 12 155 2
4 15 2 2
4 17 12 6
4 18 73 1
4 22 2 20
4 23 46 6
5 0 4 14
5 1 11 5
5 2 1 29
5 3 10 1
5 4 2 17
5 6 27 17
5 7 175 1
5 8 1 7
5 9 16 1
5 10 1 28
5 11 2 11
5 12 8 1
5 16 12 23
5 24 3 1
5 25 6 25
6 1 55 1
6 4 2 21
6 5 199 25
6 7 219 1
6 9 33 10
6 10 93 26
6 11 216 2
6 17 37 2
6 21 46 3
6 23 1 22
6 26 1 13
6 27 10 24
7 0 17 1
7 1 11 14
7 2 1 28
7 3 5 4
7 5 61 2
7 6 9 20
7 8 4 2
7 9 1 16
7 10 26 25
7 11 33 28
7 12 80 3
7 14 29 4
7 15 42 1
7 17 149 2
7 18 2 3
7 24 61 20
7 27 23 19
8 0 5 1
8 2 10 9
8 3 80 15
8 4 2 24
8 5 1 5
8 6 13 24
8 7 116 1
8 9 23 1
8 10 33 6
8 11 371 1
8 13 2 2
8 14 22 1
8 15 2 19
8 16 13 1
8 18 35 5
8 19 5 25
8 24 7 1
8 25 8 5
9 1 65 24
9 2 85 1
9 3 32 3
9 4 148 1
9 5 89 24
9 6 3 28
9 8 5 7
9 10 15 27
9 11 206 1
9 12 10 22
9 18 97 1
9 20 76 4
9 21 3 9
9 24 19 2
9 25 19 7
10 0 13 19
10 1 29 1
10 2 16 29
10 3 1 28
10 4 38 2
10 5 66 1
10 6 202 1
10 7 230 1
10 8 365 20
10 8 443 1
10 9 378 1
10 11 4 1
10 12 2 7
10 13 1 28
10 15 5 3
10 16 7 27
10 17 66 4
10 19 5 3
10 23 31 1
10 25 91 1
11 1 2 6
11 2 1 19
11 3 1 23
11 6 18 24
11 7 56 23
11 8 29 2
11 10 3 21
11 12 4 2
11 14 29 16
11 15 142 6
11 16 3 6
11 21 10 1
11 24 2 27
11 25 80 1
11 27 1 15
12 1 1 19
12 3 4 27
12 6 1 19
12 7 112 3
12 9 67 1
12 10 6 21
12 13 9 17
12 14 5 9
12 15 1 7
12 22 59 3
13 3 12 13
13 6 1 27
13 7 128 4
13 9 19 2
13 11 152 1
13 12 48 1
13 14 31 1
13 18 5 16
13 24 1 18
14 0 1 15
14 1 63 5
14 2 4 1
14 7 1 13
14 8 1 5
14 9 1 1
14 10 12 25
14 11 17 20
14 13 6 1
14 15 1 10
14 23 2 26
15 1 1 17
15 6 4 28
15 7 1 11
15 8 1 29
15 10 200 1
15 11 392 1
15 21 4 5
15 22 4 5
16 0 56 1
16 1 9 22
16 2 1 11
16 3 30 1
16 5 6 1
16 6 17 1
16 8 1 1
16 9 2 12
16 14 1 3
16 17 6 14
16 18 32 2
16 20 1 20
16 24 5 1
16 25 3 8
17 0 49 1
17 1 2 9
17 2 9 24
17 3 17 22
17 4 1 19
17 6 114 1
17 7 15 2
17 8 101 1
17 15 1 25
17 20 1 8
18 1 84 23
18 5 1 14
18 6 1 15
18 8 98 4
18 9 124 1
18 13 1 1
18 14 1 23
18 16 100 1
18 19 38 4
18 21 4 17
19 0 3 1
19 1 71 1
19 7 54 1
19 8 1 20
19 10 48 1
19 11 96 5
19 20 52 1
20 0 26 1
20 1 91 1
20 7 1 22
20 13 3 21
20 17 8 25
20 18 12 21
20 19 33 1
21 4 42 10
21 6 7 19
21 9 2 29
21 11 62 28
21 16 1 16
21 20 1 25
21 22 10 1
22 1 8 7
22 9 1 23
22 11 9 26
22 15 10 6
23 8 24 3
23 9 2 1
23 15 8 1
24 0 6 1
24 1 26 1
24 3 30 1
24 4 71 26
24 5 10 1
24 8 15 1
24 10 48 1
24 11 1 2
24 14 28 17
24 16 4 1
24 26 1 28
25 1 1 12
25 3 1 5
25 7 1 13
25 11 3 29
25 13 1 12
25 15 10 28
25 24 1 21
26 1 7 27
26 3 1 19
26 7 3 9
26 12 1 22
26 17 6 24
26 20 3 19
26 23 1 22
26 27 5 15
27 7 1 13
27 11 1 4
27 15 1 23
