0 1 2 3
0 2 1 8
0 3 5 15
0 5 1 6
0 6 5 26
0 7 19 1
0 8 1 4
0 9 247 21
0 10 8 14
0 11 2 18
0 15 97 1
0 16 1 2
0 17 1 2
0 18 1 7
0 19 2 2
0 20 9 20
0 21 2 26
0 24 1 29
0 27 43 1
1 0 6 23
1 2 135 1
1 3 3 28
1 4 14 19
1 6 274 1
1 7 21 1
1 8 1 13
1 9 128 1
1 10 239 1
1 11 9 1
1 16 1 9
1 17 346 1
1 18 44 7
1 19 5 29
1 20 3 23
1 24 1 26
1 25 61 1
2 0 1 5
2 1 2 22
2 3 1 27
2 6 316 1
2 7 1 2
2 8 236 1
2 9 151 2
2 10 5 28
2 11 56 2
2 17 23 10
2 20 175 1
2 25 1 6
3 0 1 4
3 1 1 21
3 2 29 15
3 4 87 1
3 5 1 12
3 6 278 1
3 7 163 1
3 8 40 21
3 11 68 1
3 12 70 21
3 16 1 23
3 20 19 2
3 21 2 20
4 0 180 1
4 1 88 1
4 3 5 26
4 5 34 1
4 6 122 1
4 7 172 1
4 8 444 1
4 9 239 1
4 10 320 1
4 11 199 1
4 12 3 6
4 13 119 27
4 17 301 1
4 18 91 1
4 19 142 28
4 22 1 3
5 0 1 2
5 1 5 24
5 2 1 12
5 3 1 1
5 4 71 1
5 6 134 1
5 7 2 22
5 8 93 1
5 9 46 1
5 10 24 1
5 11 160 1
5 12 1 1
5 15 5 19
5 16 1 28
5 17 1 2
5 20 118 1
5 24 1 19
6 0 9 13
6 1 202 1
6 2 185 1
6 3 5 18
6 4 2 18
6 5 279 1
6 7 28 1
6 8 383 1
6 9 38 1
6 10 285 1
6 11 1 16
6 12 2 11
6 13 2 26
6 14 6 27
6 15 80 3
6 17 350 1
6 18 1 20
6 19 58 20
6 20 2 5
6 23 4 28
6 24 118 2
7 0 58 1
7 2 52 1
7 3 4 23
7 4 10 1
7 6 2 7
7 8 12 14
7 9 3 29
7 10 20 15
7 11 301 9
7 14 1 6
7 15 79 1
7 16 19 20
7 20 1 26
7 23 62 27
7 24 6 16
7 25 2 2
7 26 102 1
8 0 39 14
8 2 38 7
8 4 86 1
8 5 221 1
8 6 392 1
8 7 36 1
8 9 133 1
8 10 412 1
8 11 94 1
8 12 26 1
8 14 1 1
8 15 1 18
8 16 1 20
8 17 236 26
8 18 5 1
8 19 1 19
8 20 6 22
8 22 1 12
8 24 1 19
8 25 185 2
8 27 31 1
9 1 3 14
9 3 103 1
9 4 10 17
9 6 12 25
9 10 12 6
9 11 1 18
9 12 313 1
9 14 14 11
9 15 112 4
9 18 187 1
9 22 1 15
9 25 8 28
9 27 8 20
10 0 167 1
10 1 4 7
10 3 328 2
10 4 2 20
10 5 42 1
10 6 363 1
10 7 1 16
10 8 357 2
10 9 2 27
10 11 2 9
10 12 1 25
10 13 7 27
10 15 8 8
10 17 1 16
10 18 1 4
10 19 121 12
10 22 118 1
10 23 76 1
10 25 247 1
11 0 2 1
11 1 241 1
11 2 56 16
11 6 122 1
11 7 35 4
11 8 7 21
11 9 2 1
11 10 3 16
11 13 108 1
11 14 46 1
11 15 57 1
11 17 257 1
11 19 4 10
11 20 143 2
11 24 6 27
11 25 3 20
11 27 13 22
12 1 136 2
12 2 12 2
12 3 1 18
12 4 1 21
12 6 10 15
12 7 4 26
12 8 55 1
12 9 38 1
12 10 1 26
12 11 3 15
12 13 3 15
12 15 116 2
12 17 1 28
12 21 8 6
12 25 91 3
13 0 30 3
13 1 1 26
13 4 1 27
13 7 4 8
13 10 3 24
13 11 227 2
13 15 27 1
13 17 67 9
13 20 1 20
14 0 6 2
14 2 52 1
14 3 16 2
14 4 4 28
14 7 1 26
14 8 326 1
14 10 3 1
14 11 44 1
14 15 1 16
14 21 25 11
15 0 109 1
15 1 5 6
15 3 2 29
15 6 1 22
15 7 5 1
15 8 2 25
15 10 71 1
15 11 1 1
15 14 42 1
15 17 1 12
15 20 2 15
16 1 1 26
16 3 1 23
16 4 102 2
16 5 7 28
16 7 7 5
16 8 1 17
16 9 101 1
16 11 9 24
16 13 3 20
16 17 33 1
16 18 3 16
16 21 2 9
16 24 1 7
16 26 17 15
17 0 40 14
17 1 156 1
17 2 43 16
17 4 5 25
17 5 7 2
17 6 3 4
17 7 1 4
17 8 264 1
17 16 5 22
17 18 202 2
17 21 53 25
18 0 92 2
18 2 3 14
18 4 75 1
18 7 1 3
18 8 1 26
18 12 49 3
18 16 1 17
18 24 1 11
18 25 10 1
19 1 1 29
19 6 1 27
19 7 1 28
19 8 2 21
19 9 1 25
19 10 144 3
19 11 1 29
19 17 102 5
19 20 295 1
20 0 9 22
20 1 33 2
20 3 3 26
20 5 1 6
20 6 216 2
20 7 109 1
20 9 85 1
20 10 2 16
20 11 29 24
20 17 1 20
20 19 189 1
