0 1 2 3
0 3 70 1
0 4 3 19
0 5 119 1
0 6 12 6
0 7 54 1
0 8 139 1
0 9 6 3
0 14 3 15
0 15 2 6
0 16 34 1
0 17 1 18
0 18 1 11
0 19 3 5
0 20 62 1
0 23 30 3
0 24 28 1
1 0 149 1
1 2 4 13
1 3 161 1
1 4 251 1
1 5 135 1
1 6 222 9
1 7 66 1
1 8 4 18
1 9 3 9
1 11 20 1
1 14 1 16
1 16 121 1
1 17 15 2
1 19 1 19
1 20 2 5
1 24 20 1
1 25 41 3
2 0 2 12
2 1 3 14
2 3 80 1
2 6 5 1
2 8 1 21
2 10 13 2
2 11 172 1
2 17 7 13
2 19 1 4
2 20 25 2
2 22 1 19
2 25 2 22
2 27 16 5
3 0 22 13
3 1 32 1
3 2 185 11
3 5 102 1
3 6 223 1
3 7 385 19
3 8 36 1
3 10 1 28
3 11 284 18
3 13 7 5
3 16 63 1
3 17 1 19
3 19 1 1
3 24 31 1
3 27 1 6
4 0 4 22
4 1 230 1
4 2 2 24
4 3 24 2
4 5 115 1
4 6 1 4
4 8 1 12
4 9 113 1
4 10 1 24
4 12 2 1
4 16 38 1
4 17 207 1
4 18 101 1
4 22 1 7
5 0 71 1
5 1 100 1
5 2 67 1
5 4 9 25
5 6 100 1
5 7 79 1
5 8 40 19
5 10 206 1
5 12 50 1
5 18 10 27
5 24 36 1
6 1 13 19
6 2 3 20
6 3 110 1
6 4 1 8
6 5 307 1
6 7 335 1
6 8 94 1
6 9 56 1
6 10 164 15
6 11 117 1
6 12 17 14
6 15 14 3
6 17 8 1
6 18 32 26
6 19 2 22
6 20 1 29
6 22 26 12
6 27 1 17
7 0 241 1
7 1 114 1
7 3 91 1
7 4 113 1
7 5 1 10
7 6 2 5
7 8 354 1
7 10 335 1
7 11 99 1
7 13 2 14
7 15 264 1
7 17 161 1
7 19 1 1
7 23 1 19
7 25 222 2
7 26 63 1
7 27 144 1
8 0 33 1
8 1 86 1
8 2 90 5
8 3 166 2
8 4 1 19
8 5 52 1
8 6 23 7
8 9 1 11
8 10 227 1
8 11 186 1
8 12 25 13
8 15 93 2
8 16 71 1
8 17 61 1
8 23 1 17
8 24 9 1
8 27 70 29
9 4 117 1
9 5 9 14
9 6 71 4
9 8 1 15
9 10 6 20
9 12 305 1
9 13 61 1
9 14 9 20
9 15 1 16
9 17 9 21
9 23 2 9
10 1 1 13
10 2 74 1
10 3 2 2
10 5 1 7
10 6 55 27
10 7 2 17
10 8 13 1
10 9 7 13
10 11 5 24
10 12 150 2
10 13 1 28
10 14 16 1
10 15 65 1
10 17 2 25
10 18 50 3
10 23 1 9
10 24 2 22
10 25 1 24
11 0 9 1
11 2 30 3
11 3 5 12
11 4 38 16
11 5 2 13
11 7 34 25
11 8 8 1
11 9 1 13
11 10 285 1
11 14 10 1
11 15 4 24
11 18 83 2
11 19 20 1
11 20 154 2
11 24 100 1
11 25 8 16
11 27 2 10
12 1 22 2
12 9 145 1
12 10 21 1
12 11 32 1
12 13 98 2
12 22 1 17
12 23 30 5
13 9 19 1
13 11 5 9
13 12 1 21
13 14 13 2
13 15 6 20
13 17 25 15
13 24 1 25
14 8 23 2
14 10 40 1
14 11 145 24
14 12 1 20
14 13 1 5
14 15 2 25
14 18 44 3
14 21 20 2
14 24 2 14
14 25 7 1
14 27 7 10
15 0 3 14
15 6 63 2
15 7 42 1
15 8 9 24
15 10 98 27
15 11 6 21
15 12 20 4
15 14 30 1
15 17 62 2
15 23 2 9
15 24 1 6
15 25 5 4
16 0 90 1
16 1 167 1
16 3 97 1
16 4 25 2
16 5 29 1
16 8 99 1
16 9 1 12
16 13 26 5
16 14 9 7
16 18 23 20
16 20 1 1
16 24 51 1
17 1 2 11
17 4 3 2
17 5 58 1
17 6 240 2
17 7 1 5
17 8 4 2
17 11 148 2
17 25 1 9
17 27 6 13
18 0 91 1
18 4 63 1
18 5 70 2
18 6 1 9
18 7 2 25
18 9 37 1
18 10 148 1
18 11 1 24
18 12 1 4
18 16 5 3
18 17 1 6
19 0 1 9
19 1 2 19
19 6 61 1
19 8 52 1
19 9 27 5
19 11 72 2
19 20 45 1
20 0 1 12
20 1 13 18
20 2 1 18
20 5 42 1
20 6 78 1
20 7 251 2
20 8 10 2
20 14 1 15
20 15 73 8
20 16 2 24
20 24 56 1
21 7 34 13
21 8 24 3
21 10 4 10
21 12 5 4
21 17 49 20
21 26 1 1
21 27 13 18
22 1 4 1
22 2 4 8
22 10 2 14
22 11 57 2
23 0 42 1
23 5 13 1
23 7 150 1
23 12 1 2
23 22 4 21
23 27 17 23
24 0 63 1
24 1 61 1
24 3 1 21
24 5 34 1
24 7 8 3
24 8 87 1
24 9 1 25
24 11 1 26
24 13 11 1
24 16 29 1
24 26 58 13
25 0 1 26
25 2 1 12
25 3 1 24
25 5 16 1
25 7 8 12
25 8 67 1
25 10 1 28
25 11 240 1
25 16 34 22
25 27 40 1
26 8 8 14
26 10 1 8
26 24 1 12
26 27 51 5
27 0 1 26
27 1 5 17
27 7 151 3
27 9 69 28
27 11 1 22
27 26 22 19
